nationality_name,overall
Korea Republic,67
Serbia,70
England,64
Argentina,69
Ecuador,65
Nigeria,74
Germany,70
France,73
Netherlands,67
Congo DR,72
Netherlands,68
Sweden,71
Peru,71
Türkiye,71
Chad,73
Netherlands,68
Italy,70
Czechia,74
Denmark,69
Colombia,74
Brazil,77
Ukraine,72
Czechia,66
Germany,67
Switzerland,77
Denmark,71
Nigeria,68
Argentina,66
Italy,65
Korea Republic,68
Canada,68
Norway,69
Netherlands,76
Canada,68
England,67
England,72
Germany,66
Switzerland,69
Ecuador,70
Serbia,72
Scotland,63
Brazil,71
Spain,71
England,62
Cyprus,68
Germany,73
Togo,69
Australia,63
Portugal,67
Finland,67
Peru,66
Romania,71
Argentina,73
England,70
Senegal,69
Australia,66
Uruguay,63
France,73
England,65
Uzbekistan,77
Ghana,71
Côte d'Ivoire,72
Argentina,65
Republic of Ireland,65
Italy,75
Sierra Leone,68
Germany,73
Brazil,68
Scotland,74
Korea Republic,65
China PR,65
Brazil,71
Nigeria,74
Belgium,63
Slovakia,77
Argentina,70
Peru,70
England,71
Serbia,69
Romania,66
Saudi Arabia,65
England,64
Germany,74
Switzerland,70
Denmark,68
Germany,63
Spain,70
Italy,75
Jamaica,70
Poland,68
Spain,68
Scotland,63
Türkiye,74
Argentina,66
Germany,66
France,70
Chile,72
England,72
England,78
France,71
England,64
Poland,68
France,67
Denmark,71
Sweden,65
Argentina,64
Chile,63
Portugal,69
England,62
Portugal,70
Belgium,69
Denmark,64
Ghana,69
Norway,67
Poland,68
Algeria,68
Côte d'Ivoire,70
Cameroon,72
Germany,65
Spain,65
Scotland,72
England,64
Côte d'Ivoire,69
Nigeria,75
Cabo Verde,68
Italy,66
Croatia,69
Cameroon,67
Germany,67
Gambia,65
Venezuela,68
Argentina,73
Hungary,72
Sweden,65
Paraguay,73
France,73
England,62
Greece,75
Argentina,68
Germany,67
Sweden,67
Czechia,70
Slovakia,68
Italy,71
Zambia,72
Algeria,76
Brazil,74
Albania,65
United States,66
England,67
Spain,70
England,65
England,64
Spain,69
Nigeria,74
Croatia,68
United States,66
Republic of Ireland,66
Italy,67
Senegal,69
Portugal,74
Peru,71
Kosovo,79
Scotland,63
Italy,71
Denmark,64
Australia,71
Italy,74
Argentina,69
England,67
Spain,69
Italy,65
Brazil,70
England,68
England,67
Norway,68
Argentina,73
Brazil,70
Spain,73
China PR,63
Argentina,68
Scotland,66
Germany,75
France,65
Portugal,72
England,72
Spain,70
Australia,64
Korea Republic,70
Argentina,65
Comoros,74
Vanuatu,68
China PR,67
Germany,67
Germany,66
Venezuela,66
England,78
Argentina,70
Italy,68
Bolivia,66
Panama,69
Spain,65
Argentina,70
Germany,69
Colombia,69
Congo DR,71
Romania,64
Serbia,66
Republic of Ireland,65
Uruguay,65
Belgium,65
England,64
Argentina,68
Croatia,64
Spain,64
Poland,69
Netherlands,77
Colombia,69
Uruguay,69
Czechia,75
Argentina,70
Estonia,66
France,70
India,58
England,70
Portugal,68
England,69
Sweden,63
Italy,66
Northern Ireland,63
Sweden,65
France,65
Argentina,70
United States,68
Iceland,69
Guinea-Bissau,76
France,68
Brazil,73
Germany,63
Czechia,72
Nigeria,75
Brazil,74
Brazil,71
Republic of Ireland,64
Morocco,73
Netherlands,66
France,71
Uruguay,74
Finland,63
Slovakia,70
Spain,67
Brazil,66
Slovenia,67
Bosnia and Herzegovina,69
Spain,67
Argentina,75
Spain,68
Norway,67
France,69
Argentina,71
England,68
France,75
England,65
Spain,69
Portugal,68
Scotland,67
Peru,70
Wales,72
Brazil,74
Denmark,67
Spain,68
Wales,60
Australia,63
Colombia,66
Argentina,69
Kosovo,67
Brazil,69
Austria,75
Belgium,76
Germany,70
Argentina,72
Argentina,70
Ecuador,67
Brazil,72
Hungary,68
Australia,68
Northern Ireland,63
Côte d'Ivoire,74
Colombia,68
Germany,70
France,72
Argentina,66
Norway,68
France,68
Guinea-Bissau,68
Costa Rica,68
Brazil,74
Kosovo,71
Norway,67
Angola,69
Nigeria,79
Chile,67
Canada,76
Kosovo,73
Spain,70
France,72
China PR,65
Northern Ireland,66
Korea Republic,66
Brazil,69
Spain,77
Poland,67
Switzerland,66
Denmark,69
Grenada,67
Argentina,72
England,69
England,68
England,63
Switzerland,69
Spain,68
France,76
Argentina,67
Saudi Arabia,68
Netherlands,65
Netherlands,73
England,68
Albania,65
Argentina,69
Uruguay,68
Canada,74
Denmark,73
Belgium,66
Italy,67
Honduras,67
Italy,68
Germany,67
England,70
United States,72
Brazil,69
Brazil,72
Argentina,66
Germany,71
Greece,69
Australia,63
Serbia,66
Zambia,69
Türkiye,64
Wales,62
Romania,67
Wales,65
Türkiye,69
Angola,69
Spain,70
Brazil,71
Chile,69
Argentina,72
Scotland,65
Italy,67
Ukraine,72
Sweden,71
France,77
Norway,66
Morocco,74
Brazil,70
Saudi Arabia,67
China PR,59
Cameroon,73
Colombia,68
France,64
Scotland,64
Türkiye,69
Argentina,70
Spain,65
Spain,66
Tunisia,72
Germany,67
England,72
Finland,68
Brazil,72
Republic of Ireland,62
Norway,71
Slovakia,68
Norway,65
Denmark,72
Brazil,75
Switzerland,71
Denmark,69
Brazil,72
Paraguay,70
Croatia,68
Belgium,65
England,63
Italy,68
Colombia,73
Venezuela,69
Denmark,64
Côte d'Ivoire,68
Sweden,68
Morocco,67
Colombia,70
England,66
Morocco,73
Croatia,65
Italy,68
England,70
Sweden,71
Italy,67
Morocco,72
Slovakia,70
England,63
Netherlands,68
Italy,69
Scotland,71
Austria,67
Republic of Ireland,73
Paraguay,69
Serbia,71
Germany,70
Germany,72
Ecuador,69
Argentina,72
Netherlands,69
Germany,66
Austria,65
Côte d'Ivoire,67
Brazil,73
Republic of Ireland,69
Spain,64
Mali,68
Republic of Ireland,63
Gambia,67
Denmark,65
Burkina Faso,65
France,66
Uruguay,70
France,71
Sweden,70
Australia,67
Belgium,75
Germany,65
Paraguay,72
Chile,68
Uruguay,66
Türkiye,67
Netherlands,66
Romania,65
Spain,67
Grenada,62
Norway,63
Poland,67
Uruguay,70
Brazil,70
Spain,67
Wales,70
Spain,68
Argentina,67
Ukraine,67
France,76
Republic of Ireland,62
China PR,65
Italy,75
Germany,66
Colombia,63
Uruguay,69
England,69
Czechia,68
Malaysia,70
Canada,67
Ecuador,64
France,67
Germany,74
Brazil,72
Italy,82
Poland,72
Portugal,71
France,72
France,65
Brazil,68
Portugal,67
Republic of Ireland,63
Chile,69
Sweden,67
Ecuador,68
France,65
Germany,67
Argentina,66
Peru,70
England,63
Poland,65
Mali,69
Türkiye,66
Nigeria,72
Spain,73
Scotland,63
Poland,68
Norway,73
Saudi Arabia,66
Spain,66
Uruguay,72
Argentina,69
England,65
Uruguay,68
Wales,64
Argentina,68
England,74
Romania,68
Spain,74
Argentina,69
Denmark,65
Korea Republic,65
Australia,67
Argentina,68
Germany,66
Argentina,70
England,70
Ghana,74
Brazil,71
Argentina,69
United States,65
Romania,67
Côte d'Ivoire,73
Argentina,72
Korea Republic,67
France,73
France,64
United States,71
Canada,67
Wales,64
Spain,66
Jamaica,72
France,69
England,63
Spain,67
Uruguay,79
Czechia,74
Germany,67
Romania,63
Venezuela,65
Norway,64
Argentina,64
Germany,67
Mali,68
Germany,69
France,70
Germany,68
Germany,66
Portugal,75
Belgium,68
Sweden,75
Burkina Faso,71
Germany,67
Paraguay,67
Spain,72
Sierra Leone,63
Ghana,67
Poland,65
Italy,64
Germany,67
France,63
Romania,70
Germany,66
Germany,66
Sweden,66
France,71
Kosovo,69
Argentina,70
Argentina,69
Colombia,72
Argentina,72
Spain,72
Albania,64
Spain,73
Germany,71
United States,73
Uruguay,69
Scotland,63
Ecuador,63
Brazil,67
Netherlands,67
France,71
Brazil,74
Venezuela,67
Italy,68
China PR,64
Finland,66
Germany,64
England,66
Austria,69
Côte d'Ivoire,80
England,64
Norway,66
Poland,65
Korea Republic,67
Spain,71
Ecuador,67
France,69
France,69
Russia,69
Ukraine,65
Brazil,82
Senegal,71
Qatar,74
Argentina,67
Bolivia,64
Romania,66
France,69
Georgia,66
Germany,66
Germany,75
Korea Republic,73
England,64
Germany,65
Portugal,66
France,69
Argentina,76
Mali,76
France,70
Albania,70
France,68
Denmark,68
Spain,70
Scotland,63
Argentina,71
England,64
France,74
Spain,73
Colombia,68
England,68
Spain,68
Brazil,75
Luxembourg,63
Armenia,67
Spain,75
Germany,71
Morocco,68
China PR,62
Morocco,69
Spain,64
Italy,65
Spain,72
Algeria,68
Sweden,65
Iceland,75
Germany,65
Gambia,71
Paraguay,65
Niger,69
England,63
Algeria,70
England,64
Georgia,74
Germany,68
Bulgaria,66
Iceland,65
Iceland,69
Ukraine,75
Argentina,70
Germany,66
United States,68
Portugal,69
Sweden,67
Denmark,70
Netherlands,71
Philippines,66
Australia,63
Germany,67
Uganda,64
Brazil,70
Nigeria,74
Republic of Ireland,60
United States,65
Belgium,74
Argentina,66
Brazil,74
Brazil,72
England,69
Croatia,78
Argentina,67
Spain,65
England,77
Scotland,69
Australia,67
England,64
Congo DR,70
England,72
France,70
England,74
Argentina,68
Kenya,73
Côte d'Ivoire,61
England,64
Switzerland,64
Switzerland,72
England,74
United States,68
England,63
Switzerland,67
Spain,65
Scotland,64
Ghana,75
Argentina,64
England,68
Ecuador,71
China PR,64
Germany,67
France,71
France,72
Brazil,72
Brazil,73
Italy,68
Norway,71
Norway,64
Spain,70
Greece,76
Spain,74
France,66
Hungary,68
England,63
Morocco,74
Germany,69
England,67
Uruguay,68
Argentina,65
Australia,65
Venezuela,65
Norway,65
England,66
China PR,62
Germany,73
Argentina,72
Spain,66
France,69
Australia,61
Australia,64
Spain,68
Korea Republic,63
England,61
Spain,69
Norway,66
Colombia,66
England,66
Spain,70
England,63
France,71
Republic of Ireland,71
England,68
Norway,65
Australia,65
Brazil,64
England,66
Germany,69
England,71
Türkiye,67
Saudi Arabia,67
China PR,66
Argentina,69
Algeria,68
Spain,68
Argentina,69
Argentina,68
Italy,69
Belgium,64
England,64
Ghana,65
Wales,69
Spain,68
Czechia,69
Suriname,70
Italy,69
Spain,65
Korea Republic,68
Germany,72
Argentina,69
Brazil,69
Spain,72
Chile,71
Argentina,66
Wales,62
Denmark,72
Germany,66
Japan,70
England,64
Brazil,65
Cameroon,67
Jamaica,69
Colombia,67
Republic of Ireland,70
Germany,64
Germany,71
Korea Republic,66
Kosovo,73
Saudi Arabia,70
Belgium,68
Paraguay,71
Germany,66
Spain,77
Brazil,73
Uruguay,68
Senegal,69
Ecuador,70
England,61
Netherlands,69
Bulgaria,67
Venezuela,68
Portugal,68
Cabo Verde,72
Norway,71
Spain,77
Saudi Arabia,67
Korea Republic,69
Greece,69
Nigeria,66
Argentina,71
England,67
Romania,72
Senegal,72
Germany,64
Colombia,66
Venezuela,64
Central African Republic,73
Italy,67
Gambia,67
Argentina,65
Argentina,67
England,61
Australia,65
Romania,65
Argentina,69
Algeria,69
Congo DR,67
Türkiye,65
Portugal,70
Sweden,65
England,66
Hungary,75
Latvia,67
Australia,69
Argentina,74
Spain,66
England,67
Denmark,67
Cameroon,73
Australia,68
France,78
Netherlands,63
Spain,74
Republic of Ireland,62
Egypt,74
United States,72
China PR,64
Paraguay,70
Chile,67
England,65
Colombia,67
Austria,72
New Zealand,64
Argentina,65
France,76
Paraguay,64
Netherlands,82
England,63
Norway,75
Romania,64
China PR,64
Italy,67
Australia,65
Italy,67
Ecuador,61
Republic of Ireland,63
India,68
Poland,66
Peru,69
Brazil,68
Norway,66
Nigeria,73
Norway,65
Denmark,65
Argentina,73
England,65
Brazil,74
Costa Rica,68
Venezuela,66
Argentina,70
Argentina,69
Argentina,67
Nigeria,63
France,70
Denmark,70
Poland,67
Romania,69
Italy,63
Saudi Arabia,69
Côte d'Ivoire,70
Chile,70
Norway,70
Brazil,69
Brazil,72
France,67
France,69
France,69
Argentina,70
France,65
England,64
Brazil,65
Argentina,63
Austria,65
England,68
Poland,68
Nigeria,68
Spain,67
Montenegro,75
Chile,72
Argentina,62
Denmark,74
Norway,68
England,65
Portugal,67
England,63
Belgium,67
Republic of Ireland,65
Paraguay,69
Czechia,67
Türkiye,67
Uruguay,70
England,63
Canada,68
France,68
England,63
Spain,69
Argentina,75
Ecuador,66
Sweden,67
Slovakia,72
Paraguay,71
Togo,69
Algeria,69
England,63
Indonesia,72
Côte d'Ivoire,70
Italy,66
United States,67
Kosovo,65
Argentina,70
Wales,67
Argentina,67
Spain,71
Portugal,69
Italy,72
Brazil,73
Argentina,69
Japan,72
Spain,68
Poland,66
Sweden,67
Netherlands,66
Uruguay,70
Spain,69
Netherlands,67
Germany,66
United States,66
Denmark,68
Brazil,72
Wales,66
Slovakia,68
Scotland,62
Brazil,70
Hungary,70
Ecuador,67
South Africa,67
Germany,64
Netherlands,70
Germany,70
United States,72
Germany,73
Argentina,70
England,68
Italy,70
Romania,64
England,73
Spain,68
Denmark,69
Türkiye,73
Bosnia and Herzegovina,65
Romania,68
Norway,68
England,61
Belgium,68
Chile,67
Türkiye,67
Jamaica,63
Finland,70
Cabo Verde,70
Bosnia and Herzegovina,70
Serbia,73
Italy,66
Uruguay,72
Ecuador,67
Brazil,70
Denmark,80
Sierra Leone,68
Ghana,67
Sweden,65
Poland,64
Republic of Ireland,72
Malta,65
Uruguay,68
France,76
England,69
Belgium,63
Sweden,66
Spain,69
Romania,72
Korea Republic,67
England,67
Germany,67
Austria,65
Germany,66
United States,68
Finland,72
Morocco,66
Italy,62
Northern Ireland,66
England,62
Italy,69
Brazil,73
France,72
Spain,73
Montenegro,70
Netherlands,74
Netherlands,66
Norway,68
England,66
Sweden,71
Spain,81
England,60
Austria,64
France,70
Argentina,63
Brazil,67
Türkiye,69
Brazil,71
Curacao,69
Paraguay,72
Slovenia,66
Denmark,66
Italy,64
Spain,69
Germany,69
France,65
Romania,68
Germany,73
England,72
Canada,67
Austria,65
England,75
Netherlands,66
France,65
Saudi Arabia,63
Italy,68
England,64
Saudi Arabia,68
Austria,65
Sweden,64
Türkiye,63
Mozambique,69
United States,69
Netherlands,65
Spain,68
Republic of Ireland,64
Italy,66
Qatar,70
Argentina,67
Mali,68
Peru,73
Curacao,68
Romania,68
Portugal,66
Denmark,65
Uruguay,65
Côte d'Ivoire,71
Norway,66
Portugal,69
Argentina,66
Ecuador,70
Spain,64
United States,73
Senegal,71
Poland,64
Germany,66
United States,64
Ghana,70
Portugal,70
Spain,70
France,64
England,64
Colombia,70
Argentina,66
France,77
England,62
China PR,63
Portugal,66
Brazil,74
China PR,64
France,68
Argentina,70
Scotland,68
Uruguay,69
Jamaica,65
Brazil,67
Spain,65
Switzerland,64
England,69
Iceland,64
Norway,71
Germany,65
Republic of Ireland,69
Albania,67
England,69
Czechia,73
Italy,65
Korea Republic,61
Germany,67
Senegal,70
Gambia,71
France,64
France,66
Italy,68
Germany,69
Spain,65
Algeria,73
Romania,67
Argentina,70
Belgium,65
Brazil,71
New Zealand,63
England,61
Switzerland,70
Luxembourg,66
Morocco,65
Germany,68
France,68
Spain,62
Hungary,70
Saudi Arabia,65
France,67
Ghana,71
Korea Republic,70
Italy,67
Switzerland,65
Brazil,74
Romania,68
Poland,67
Romania,63
Cabo Verde,65
England,71
Brazil,71
Italy,64
Senegal,68
Denmark,68
Spain,74
Scotland,66
Poland,66
Uruguay,68
United States,71
Brazil,80
Cameroon,67
Croatia,70
Venezuela,65
Belgium,71
England,64
Switzerland,63
Côte d'Ivoire,74
France,65
Chile,68
England,72
Guyana,62
England,63
France,68
Germany,64
Germany,67
Curacao,67
Italy,68
Qatar,71
Republic of Ireland,69
Northern Ireland,66
Nigeria,66
Congo DR,68
United States,75
England,71
Argentina,64
New Zealand,65
England,79
Chile,67
England,62
Spain,67
Japan,69
Sweden,72
Belgium,65
France,66
Northern Ireland,68
France,66
Argentina,69
Austria,64
Belgium,68
England,64
England,65
Argentina,64
Germany,68
Spain,61
Spain,64
Brazil,68
Uruguay,70
England,64
Portugal,69
Comoros,68
Wales,62
Croatia,71
Scotland,67
Uruguay,68
Germany,71
Colombia,65
Switzerland,71
Argentina,69
Slovenia,67
Saudi Arabia,61
England,67
Argentina,64
Argentina,67
Côte d'Ivoire,68
Angola,71
Ecuador,67
Germany,65
Spain,68
Italy,66
Argentina,67
Wales,64
Mexico,66
Spain,65
Romania,66
Austria,66
Greece,63
England,71
Romania,67
France,72
South Africa,65
Nigeria,75
England,64
Bolivia,68
Germany,64
Italy,69
Peru,72
Argentina,69
Colombia,73
Italy,72
Belgium,72
France,77
Brazil,71
Japan,68
Haiti,72
Ukraine,69
Austria,79
Republic of Ireland,63
Australia,62
Austria,66
England,68
Albania,63
Norway,69
Argentina,68
Paraguay,70
Switzerland,64
Germany,68
Netherlands,66
Italy,70
Australia,69
Peru,65
Brazil,68
England,66
Colombia,70
Argentina,67
Haiti,69
Tunisia,72
Italy,65
United States,68
Germany,65
Hungary,84
Korea Republic,65
Argentina,68
Brazil,68
Germany,63
Ecuador,67
Germany,69
Austria,66
Poland,68
Germany,66
Colombia,70
Austria,63
Scotland,66
Italy,68
England,61
Saudi Arabia,63
Republic of Ireland,62
Korea Republic,61
United States,67
Portugal,69
Norway,69
Venezuela,64
Spain,73
Türkiye,69
Germany,65
Netherlands,72
Mali,73
Burkina Faso,66
Poland,68
Bolivia,65
Slovakia,67
Brazil,73
Germany,68
Korea Republic,65
Azerbaijan,68
Mali,73
Uruguay,68
Argentina,68
Ghana,69
Netherlands,69
England,64
Spain,73
France,64
Poland,65
Spain,70
Armenia,68
Germany,67
Mali,67
Spain,79
Ukraine,70
Iceland,63
Spain,65
Republic of Ireland,71
Brazil,71
England,63
Denmark,68
Switzerland,67
Germany,69
Curacao,66
Germany,69
Romania,65
Ecuador,68
Australia,64
England,67
Guinea,73
Republic of Ireland,70
Sweden,68
Cameroon,71
Greece,77
Australia,65
Bolivia,68
Portugal,69
Belgium,68
Austria,68
England,65
England,65
Comoros,66
Argentina,69
Albania,79
Brazil,68
Netherlands,67
Spain,68
Norway,64
Italy,66
Poland,65
Korea Republic,66
Latvia,65
Netherlands,67
Algeria,68
China PR,63
Spain,64
Portugal,70
Republic of Ireland,61
Serbia,69
United States,63
Argentina,67
Côte d'Ivoire,70
Scotland,70
Argentina,74
Japan,69
Colombia,68
Liberia,75
Brazil,68
Senegal,69
Iceland,66
France,66
Türkiye,69
England,65
Netherlands,73
Argentina,70
Hungary,66
Greece,66
Germany,64
Portugal,67
Spain,68
Argentina,68
France,69
England,63
Spain,66
Romania,66
Saudi Arabia,70
Germany,70
Japan,69
Rwanda,64
Spain,68
Denmark,63
France,70
Australia,68
Italy,63
Poland,67
United States,67
Argentina,68
Mali,72
England,65
Poland,66
Denmark,67
Cameroon,64
Peru,68
Peru,66
Canada,64
India,59
Belgium,65
Portugal,66
Argentina,72
Poland,67
Germany,66
Denmark,66
Argentina,70
Côte d'Ivoire,72
Canada,63
Poland,69
Sweden,64
Guinea,68
Korea Republic,67
China PR,63
Japan,62
Germany,74
Wales,64
Brazil,74
Italy,63
Norway,64
Switzerland,63
Colombia,76
England,61
Argentina,63
Germany,69
Brazil,70
Republic of Ireland,66
England,63
Venezuela,72
France,69
Poland,63
Spain,70
Netherlands,65
Spain,68
England,64
Spain,74
Germany,69
Spain,65
Nigeria,75
Honduras,67
Mali,72
China PR,63
Republic of Ireland,62
Republic of Ireland,73
United States,70
Germany,66
Croatia,74
France,69
Nigeria,73
Spain,71
Italy,67
Morocco,69
Republic of Ireland,60
Romania,68
Spain,66
Brazil,75
Brazil,70
Sweden,70
Argentina,66
Brazil,70
England,63
Uzbekistan,65
Argentina,68
France,68
Iceland,66
Portugal,67
New Zealand,65
Morocco,67
Croatia,72
Denmark,67
Brazil,73
Serbia,68
Brazil,71
Romania,62
Spain,67
Denmark,69
Republic of Ireland,63
Portugal,66
Germany,63
Sweden,66
Türkiye,65
Liberia,69
China PR,70
Argentina,69
Argentina,68
Croatia,69
Saudi Arabia,66
Germany,65
Brazil,67
Austria,67
England,80
Croatia,69
Brazil,73
Germany,68
England,69
Denmark,63
Argentina,69
Germany,68
Spain,69
Panama,69
Argentina,70
England,65
Spain,83
Colombia,69
Kosovo,70
France,66
Germany,66
France,77
Republic of Ireland,64
Peru,66
England,62
Netherlands,69
Argentina,70
Germany,65
Slovenia,63
Brazil,72
Argentina,65
Slovenia,69
Republic of Ireland,65
Northern Ireland,65
United States,62
Italy,72
Russia,66
Chile,74
Qatar,68
Serbia,63
Saudi Arabia,72
Brazil,69
Romania,67
England,62
Algeria,67
Colombia,69
Poland,67
Georgia,72
Argentina,68
England,64
Saudi Arabia,63
Kenya,64
Portugal,69
England,66
Brazil,72
Belgium,64
Croatia,70
Argentina,63
Spain,67
Panama,70
Türkiye,64
England,72
Bosnia and Herzegovina,62
Ecuador,69
Colombia,69
Venezuela,69
England,74
Sweden,67
Korea Republic,71
Brazil,67
Denmark,64
Paraguay,66
Kenya,62
Austria,74
England,65
Austria,66
Austria,65
Scotland,71
Iraq,67
Egypt,72
Venezuela,65
Spain,67
Brazil,68
Sierra Leone,69
Spain,65
Chile,68
Ecuador,66
Spain,70
Sweden,69
Bosnia and Herzegovina,65
Saudi Arabia,70
Peru,72
Wales,61
Japan,69
United Arab Emirates,70
Germany,64
Congo DR,63
Norway,69
Uruguay,75
Germany,67
Nigeria,73
Argentina,69
Chile,68
England,60
United States,66
Brazil,66
China PR,62
Chile,72
Türkiye,69
China PR,66
United States,66
Croatia,71
Germany,66
Scotland,61
Germany,73
Spain,68
Cabo Verde,64
Argentina,68
France,65
Italy,69
Denmark,67
Peru,69
Norway,64
Germany,67
Kosovo,66
Italy,67
Korea Republic,61
Scotland,64
France,65
Argentina,71
Ghana,72
Korea Republic,72
Republic of Ireland,67
Serbia,65
Argentina,67
Mali,66
France,68
Poland,73
Peru,65
Spain,68
Argentina,66
Netherlands,64
Republic of Ireland,73
England,66
Poland,64
Spain,65
Slovenia,65
Argentina,69
Ghana,65
Norway,66
England,66
Germany,68
Argentina,65
England,64
England,63
Germany,67
Japan,65
Croatia,70
Italy,71
Spain,69
Austria,71
Netherlands,77
Venezuela,64
Russia,69
France,71
Spain,67
England,63
Serbia,76
Denmark,69
Saudi Arabia,61
Germany,71
Australia,59
Cameroon,71
Australia,65
Curacao,66
Austria,79
Argentina,65
Spain,71
Morocco,61
Republic of Ireland,69
Germany,70
Denmark,69
Paraguay,68
Romania,67
Spain,69
Chile,66
Uruguay,67
China PR,70
Norway,66
Norway,66
Angola,66
Republic of Ireland,66
Germany,69
France,72
Peru,64
Türkiye,70
Republic of Ireland,64
Côte d'Ivoire,62
Uruguay,70
Spain,70
Spain,70
Norway,70
Spain,70
Portugal,73
Brazil,68
Spain,68
England,62
Germany,67
Portugal,65
Brazil,66
Sweden,64
Italy,65
Argentina,66
Finland,67
England,69
Colombia,70
Spain,70
Nigeria,64
Spain,70
Türkiye,78
Argentina,68
Argentina,70
Nigeria,72
Norway,65
Italy,66
Wales,67
Argentina,67
Norway,66
Spain,67
Germany,67
Estonia,70
Scotland,65
Austria,68
Northern Ireland,62
Denmark,70
Argentina,68
Denmark,66
England,67
Italy,67
United States,64
France,69
England,61
Guinea-Bissau,71
Wales,64
Brazil,71
Italy,72
Hungary,67
Gambia,66
Scotland,64
Türkiye,62
Chile,65
Republic of Ireland,61
Spain,69
Brazil,67
Italy,64
China PR,57
Germany,64
Spain,69
England,63
Germany,66
Uruguay,66
Colombia,67
Scotland,66
Brazil,67
Azerbaijan,68
Sweden,66
Spain,69
Cabo Verde,77
Sweden,65
Argentina,73
Korea Republic,63
England,75
Austria,68
Italy,68
Australia,63
India,66
Netherlands,68
Bolivia,66
England,62
Bulgaria,68
Argentina,67
Argentina,64
Brazil,70
England,70
France,73
Argentina,69
Brazil,70
France,66
Germany,67
Brazil,65
Poland,69
Türkiye,67
Uruguay,71
Romania,68
Netherlands,75
Spain,67
Italy,64
Portugal,68
Cabo Verde,71
Italy,59
Scotland,63
Brazil,75
Côte d'Ivoire,74
Germany,64
Spain,66
Germany,69
Argentina,65
Mali,63
Spain,76
Romania,65
Norway,72
England,64
Brazil,70
United States,68
Portugal,66
France,69
Finland,63
Wales,68
Cameroon,65
Sweden,78
China PR,59
Romania,68
Zimbabwe,61
France,63
Hungary,68
Spain,69
Brazil,67
Colombia,71
Spain,65
England,61
China PR,60
Brazil,73
Scotland,63
Scotland,69
United States,67
Brazil,71
Saudi Arabia,67
Saudi Arabia,59
Argentina,65
Uruguay,70
Germany,64
Saudi Arabia,66
Poland,68
Brazil,68
Spain,64
Brazil,66
Argentina,70
Argentina,72
Italy,65
Spain,61
Poland,68
Argentina,68
Belarus,68
Slovakia,66
Denmark,65
Republic of Ireland,64
Italy,70
Saudi Arabia,67
New Zealand,66
Spain,72
Chile,66
Argentina,64
France,67
Korea Republic,63
Netherlands,64
Brazil,64
China PR,59
Paraguay,73
Romania,65
England,64
Brazil,70
Argentina,64
Brazil,72
Australia,67
England,60
Argentina,71
Korea Republic,65
Italy,65
Uruguay,69
Albania,70
Northern Ireland,61
Ecuador,68
Serbia,68
Germany,68
England,67
Brazil,66
England,68
Argentina,69
France,74
Venezuela,67
Norway,67
Argentina,69
Argentina,68
Bosnia and Herzegovina,74
Congo DR,70
Denmark,66
England,66
Argentina,73
Portugal,64
Paraguay,64
Paraguay,67
France,67
South Africa,61
Italy,63
Germany,63
Comoros,69
Argentina,67
Greece,67
Madagascar,64
Argentina,66
Germany,63
Germany,69
Comoros,68
Peru,66
Sweden,64
Argentina,68
Argentina,67
France,72
Argentina,64
Germany,67
Congo,62
Italy,68
Romania,62
Haiti,71
Argentina,66
United States,64
Kosovo,67
Brazil,76
Germany,65
Germany,67
Peru,72
Serbia,67
Uruguay,68
France,68
Ghana,71
Armenia,68
Germany,73
Spain,72
Brazil,71
China PR,58
Norway,65
England,68
Argentina,65
Netherlands,63
Peru,68
Scotland,61
England,63
Korea Republic,63
Netherlands,65
Côte d'Ivoire,69
England,63
Belgium,66
Netherlands,67
Costa Rica,70
Spain,73
Ghana,65
England,60
Korea Republic,64
Germany,68
Israel,72
England,60
Argentina,72
England,61
Uruguay,70
Switzerland,62
Guinea-Bissau,69
Canada,75
Norway,62
Serbia,71
China PR,66
Bosnia and Herzegovina,61
Sierra Leone,66
Germany,67
Poland,66
Germany,69
Czechia,66
Argentina,72
Türkiye,68
Italy,65
Saudi Arabia,63
Norway,67
Sweden,62
England,68
Montenegro,65
Senegal,64
France,65
Sweden,64
Poland,69
Norway,72
Denmark,68
United States,64
Colombia,71
Brazil,66
Zambia,71
Brazil,72
Greece,65
Germany,73
England,72
Germany,69
Netherlands,66
Italy,65
Germany,69
Argentina,68
Spain,72
Greece,60
Cyprus,67
Denmark,64
France,67
Argentina,67
Scotland,63
Republic of Ireland,62
Romania,68
France,68
Colombia,71
Argentina,70
Spain,71
Norway,66
Curacao,64
England,72
Portugal,68
Korea Republic,65
Italy,66
Argentina,70
Germany,66
Spain,70
England,66
Spain,76
Croatia,68
England,64
Uruguay,70
Argentina,69
Brazil,71
Bolivia,66
China PR,60
Brazil,74
Netherlands,66
Saudi Arabia,67
Greece,64
Greece,66
Colombia,71
Australia,64
Belgium,74
England,62
Brazil,68
Greece,72
England,72
Germany,66
Brazil,72
Montenegro,67
Cameroon,72
Switzerland,71
Argentina,67
Venezuela,66
Spain,64
Ecuador,66
England,66
Northern Ireland,70
Sweden,64
United States,64
Senegal,70
Türkiye,68
Ukraine,75
Norway,65
Venezuela,69
England,64
Albania,63
Belgium,70
Italy,65
France,70
Saudi Arabia,71
Scotland,63
England,64
England,72
France,71
England,71
Spain,68
Norway,65
Germany,62
Italy,66
Spain,67
France,65
Chile,64
Saudi Arabia,65
Brazil,68
England,64
Spain,63
Brazil,67
